,English_Verse_chap4_google
0,"Some people say: Some winners are willing to be a tiger like a tiger, like an eagle, and he feels happy; if he is like a sheep, like a chicken, he feels boredom of victory.Some winners, when they overcome everything, saw the death of death and fell.In addition, desolate, loneliness, instead feel the sadness of victory.However, our A Q is not so lacking. He is always proud: this is also a evidence that Chinese spiritual civilization is crowned around the world."
1,"Seeing, he seemed to be flying!"
2,"However, this victory made him a little strange.He fluttered for a long time, drifting into the Tulu Temple, as usual, he should lie down and snore.Who knows that this night, he is not easy to close. He feels that his thumb and second finger are a little weird: as if they are more slippery than usual.I do n’t know if there is a little slippery thing on his face to stick to his fingers, or does his finger grind on the face of Aunti Xiao Ni?"
3,"""Broken son's grandson Q!"""
4,"This sentence was heard in A Q's ears.He thought: Yes, there should be a woman, and no one for the broken son for a bowl of rice, there should be a woman.The husband ""there is no after the filial piety is not the big"", and ""Ruo Ao's ghost is discouraged"" is also a great grief of life, so his thoughts are actually in the Bible virtue, but unfortunately, some ""cannot be"" can't be ""can't.Access it with confidence ""."
5,"""Women, women! ..."" He thought."
6,""".... Monk moves ... women, women! ... woman!"" He thought again."
7,"We can't know when A Q is snoring this night.But he always felt that his fingers were somewhat slippery, so he always fluttered; ""female ..."" he thought."
8,"That is, we can know that women are harmful."
9,"Most Chinese men could have been sages, but unfortunately they were destroyed by women.Shang was killed by his own self -stretch; Zhou was damaged by the sorrow; Qin ... Although Shi Wumingwen, we also assumed that he was not very wrong because of a woman; Dong Zhuo did kill Diao Chan."
10,"Ah Q was originally a positive person. Although we didn't know what he had taught by Master, he had always been very strict for the ""big defense of men and women""; he also had a rejection -like a little nun and a fake foreign ghost -like —Righteousness.His doctrine is: Aunt Fanny must be private with a monk; a woman walks outside, and must want to seduce wild men; a man and a woman speak there, and must be dwelling.To punish them, he often watched, or said a few words of ""heart"" words, or in the cold place, he threw a small stone from behind."
11,"Who knows that he will be in the year of ""standing"", but he was killed by his aunt.This fluttering spirit should not have it in etiquette and religion, so women are really abominable. If the face of the little nun is not slippery, Ah Q will not be stunned, and if the little nun's face is covered, Ah Q Q, A QIt won't be stunned. Five or six years ago, he twisted a woman's thigh in the crowd of the movie, but because of his power to separate a layer of pants, he did not fluttering since then, but the aunt of the nuns, otherwise it is not a nun, otherwise it is not a nun.This shows that heresy is abominable."
12,"""Female ..."" Ah Q thought."
13,"He often pays attention to the woman who thinks ""who wants to seduce wild men"", but Yi does not laugh at him.He often listened to the woman who spoke to him, but Yi did not mention what kind of words about.Oh, this is also one of the abominable sections of women: Iraqi must pretend to be ""false""."
14,"On this day, A Q was springing for a day in the house of Taiye Zhao. After dinner, he sat in the kitchen and smoked early.If you have dinner, you can go back after dinner, but Zhao House has dinner in the morning. Although the lamp is not allowed to be the light, it will go to bed when you eat it.It is quasirable to read the article; the second is that when A Q came to be a short worker, it was allowed to light rice.Due to this exception, before Ah Q was still in the kitchen, he was drunk in the kitchen."
15,"Wu Ma is the only maid in the house of Taiye Zhao. After washing the dishes, he sat down on the bench, and talked with Ah Q:"
16,"""My wife didn't eat for two days, because the master wanted to buy a small one"""
17,"""Woman, Wu Ma, this little lonely,"" Ah Q thought."
18,"""Our young grandma is going to have children in August ..."""
19,"""Woman ..."" Ah Q thought."
20,A Q put down the cigarette pipe and stood up.
21,"""Our young grandma ..."" Wu Ma said."
22,"""I feel sleepy with you, I and you are sleepy!"" Ah Q suddenly rushed up and kneeled down to Yi."
23,It was very silent for a moment.
24,"""Ah!"" Wu Ma shook, trembled suddenly, yelled and ran out, running and shouting, and seemed to be crying later."
25,"Ah Q was kneeling on the wall and also froze, so he held the empty bench with both hands and slowly stood up, as if it felt a little bad.At this time, he was really a little embarrassed. He panicked and inserted the cigarette pipe on his pants and wanted to go to Chunmi.With a crowned, his head was thick, and he hurried back and turned around, and then the show stood in front of him with a big bamboo bar."
26,"""You're reversed, ... you ..."""
27,"The big bamboo bar split him again.A Q's hands were hugged, and the shooting was hitting the knuckles, which was a little painful.He rushed out of the kitchen door, as if on his back."
