,Keyword,Score,Chapter,Author
0,biography,0.5687,1,Google Translate
1,surnames,0.3879,1,Google Translate
2,confucius,0.3578,1,Google Translate
3,preface,0.3555,1,Google Translate
4,cai,0.2832,1,Google Translate
5,generation,0.2783,1,Google Translate
6,calligraphy,0.2758,1,Google Translate
7,passage,0.271,1,Google Translate
8,title,0.2705,1,Google Translate
9,letter,0.2596,1,Google Translate
0,dragon,1.2598,2,Google Translate
1,wuzhuang,0.8528,2,Google Translate
2,zhao,0.807,2,Google Translate
3,letting,0.8048,2,Google Translate
4,away,0.6696,2,Google Translate
5,esteem,0.646,2,Google Translate
6,shortcomings,0.6114,2,Google Translate
7,literary,0.5408,2,Google Translate
8,scornful,0.5372,2,Google Translate
9,meaning,0.4768,2,Google Translate
0,zhao,2.7582000000000004,3,Google Translate
1,emperor,1.8747,3,Google Translate
2,shortcomings,1.5852,3,Google Translate
3,humiliation,1.4619,3,Google Translate
4,gentleman,1.3491,3,Google Translate
5,qi,1.203,3,Google Translate
6,respected,1.047,3,Google Translate
7,confucianists,0.9597,3,Google Translate
8,taiyong,0.9147000000000001,3,Google Translate
9,test,0.8379,3,Google Translate
0,woman,1.2387,4,Google Translate
1,ah,1.2290999999999999,4,Google Translate
2,qin,1.1760000000000002,4,Google Translate
3,broken,1.1064,4,Google Translate
4,thinks,1.0701,4,Google Translate
5,piety,1.0334999999999999,4,Google Translate
6,sorrow,1.0257,4,Google Translate
7,kind,0.9935999999999999,4,Google Translate
8,monk,0.9788999999999999,4,Google Translate
9,strangeness,0.9117,4,Google Translate
0,dragon,1.0842,5,Google Translate
1,qianjia,0.8232,5,Google Translate
2,hotel,0.8008,5,Google Translate
3,suddenly,0.7662,5,Google Translate
4,mother,0.7622,5,Google Translate
5,short,0.6588,5,Google Translate
6,afraid,0.63,5,Google Translate
7,ah,0.5788,5,Google Translate
8,tugu,0.5764,5,Google Translate
9,situation,0.5412,5,Google Translate
0,qian,3.3387,6,Google Translate
1,money,2.0883,6,Google Translate
2,series,0.8084999999999999,6,Google Translate
3,appeared,0.7398,6,Google Translate
4,70,0.738,6,Google Translate
5,piece,0.6264000000000001,6,Google Translate
6,hu,0.5877,6,Google Translate
7,times,0.5694,6,Google Translate
8,shook,0.4974,6,Google Translate
9,teahouse,0.49410000000000004,6,Google Translate
0,zhao,3.8960999999999992,7,Google Translate
1,qiyi,2.3799,7,Google Translate
2,rebellion,1.8495000000000001,7,Google Translate
3,couldn,1.5243,7,Google Translate
4,night,1.5161999999999998,7,Google Translate
5,ah,1.4742000000000002,7,Google Translate
6,white,1.3967999999999998,7,Google Translate
7,wuzhuang,1.26,7,Google Translate
8,suddenly,1.242,7,Google Translate
9,armor,1.1343,7,Google Translate
0,braid,0.9764,8,Google Translate
1,listening,0.9037999999999999,8,Google Translate
2,weizhuang,0.8644,8,Google Translate
3,mao,0.62,8,Google Translate
4,revolutionized,0.5776,8,Google Translate
5,rebellion,0.5594,8,Google Translate
6,bamboo,0.5004,8,Google Translate
7,head,0.4886,8,Google Translate
8,piece,0.4462,8,Google Translate
9,village,0.4254,8,Google Translate
0,weizhuang,2.3070000000000004,9,Google Translate
1,characters,2.0112,9,Google Translate
2,lobby,1.584,9,Google Translate
3,door,1.5795,9,Google Translate
4,dozen,1.3262999999999998,9,Google Translate
5,robbing,1.2936,9,Google Translate
6,sides,1.2819,9,Google Translate
7,row,1.2567,9,Google Translate
8,dark,1.0305,9,Google Translate
9,surrounded,0.8456999999999999,9,Google Translate
