Chinese_verse,English_Verse
有人说：有些胜利者，愿意敌手如虎，如鹰，他才感得胜利的欢喜；假使如羊，如小鸡，他便反觉得胜利的无聊。又有些胜利者，当克服一切之后，看见死的死了，降的降了，“臣诚惶诚恐死罪死罪”，他于是没有了敌人，没有了对手，没有了朋友，只有自己在上，一个，孤另另，凄凉，寂寞，便反而感到了胜利的悲哀。然而我们的阿Q却没有这样乏，他是永远得意的：这或者也是中国精神文明冠于全球的一个证据了。,"Some people say: Some winners are willing to be a tiger like a tiger, like an eagle, and he feels happy; if he is like a sheep, like a chicken, he feels boredom of victory.Some winners, when they overcome everything, saw the death of death and fell.In addition, desolate, loneliness, instead feel the sadness of victory.However, our A Q is not so lacking. He is always proud: this is also a evidence that Chinese spiritual civilization is crowned around the world."
看哪，他飘飘然的似乎要飞去了！,"Seeing, he seemed to be flying!"
然而这一次的胜利，却又使他有些异样。他飘飘然的飞了大半天，飘进土谷祠，照例应该躺下便打鼾。谁知道这一晚，他很不容易合眼，他觉得自己的大拇指和第二指有点古怪：仿佛比平常滑腻些。不知道是小尼姑的脸上有一点滑腻的东西粘在他指上，还是他的指头在小尼姑脸上磨得滑腻了?,"However, this victory made him a little strange.He fluttered for a long time, drifting into the Tulu Temple, as usual, he should lie down and snore.Who knows that this night, he is not easy to close. He feels that his thumb and second finger are a little weird: as if they are more slippery than usual.I do n’t know if there is a little slippery thing on his face to stick to his fingers, or does his finger grind on the face of Aunti Xiao Ni?"
“断子绝孙的阿Q！”,"""Broken son's grandson Q!"""
"阿Q的耳朵里又听到这句话。他想：不错，应该有一个女人，断子绝孙便没有人供一碗饭，应该有一个女人。夫“不孝有三无后为大”，而“若敖之鬼馁而""，也是一件人生的大哀，所以他那思想，其实是样样合于圣经贤传的，只可惜后来有些“不能收其放心“了。","This sentence was heard in A Q's ears.He thought: Yes, there should be a woman, and no one for the broken son for a bowl of rice, there should be a woman.The husband ""there is no after the filial piety is not the big"", and ""Ruo Ao's ghost is discouraged"" is also a great grief of life, so his thoughts are actually in the Bible virtue, but unfortunately, some ""cannot be"" can't be ""can't.Access it with confidence ""."
“女人、女人！......”他想。,"""Women, women! ..."" He thought."
“……. 和尚动得 ……女人、女人！......女人！”他又想。,""".... Monk moves ... women, women! ... woman!"" He thought again."
我们不能知道这晚上阿Q在什么时候才打鼾。但大约他从此总觉得指头有些滑腻，所以他从此总有些飘飘然；“女…⋯”他想。,"We can't know when A Q is snoring this night.But he always felt that his fingers were somewhat slippery, so he always fluttered; ""female ..."" he thought."
即此一端，我们便可以知道女人是害人的东西。,"That is, we can know that women are harmful."
中国的男人，本来大半都可以做圣贤，可惜全被女人毁掉了。商是妲己闹亡的；周是褒姒弄坏的；秦……虽然史无明文，我们也假定他因为女人，大约未必十分错；而董卓可是的确给貂蝉害死了。,"Most Chinese men could have been sages, but unfortunately they were destroyed by women.Shang was killed by his own self -stretch; Zhou was damaged by the sorrow; Qin ... Although Shi Wumingwen, we also assumed that he was not very wrong because of a woman; Dong Zhuo did kill Diao Chan."
阿Q本来也是正人，我们虽然不知道他曾蒙什么明师指授过，但他对于“男女之大防”却历来非常严；也很有排斥异端—一如小尼姑及假洋鬼子之类—的正气。他的学说是：凡尼姑，一定与和尚私通；一个女人在外面走，一定想引诱野男人；一男一女在那里讲话，一定要有勾当了。为惩治他们起见，所以他往往怒目而视，或者大声说几句“诛心”话，或者在冷僻处，便从后面掷一块小石头。,"Ah Q was originally a positive person. Although we didn't know what he had taught by Master, he had always been very strict for the ""big defense of men and women""; he also had a rejection -like a little nun and a fake foreign ghost -like —Righteousness.His doctrine is: Aunt Fanny must be private with a monk; a woman walks outside, and must want to seduce wild men; a man and a woman speak there, and must be dwelling.To punish them, he often watched, or said a few words of ""heart"" words, or in the cold place, he threw a small stone from behind."
谁知道他将到“而立”之年，竟被小尼姑害得飘飘然了。这飘飘然的精神，在礼教上是不应该有的，所以女人真可恶，假使小尼姑的脸上不滑腻，阿Q便不至于被蛊，又假使小尼姑的脸上盖一层布，阿Q便也不至于被蛊了，一他五六年前，曾在戏台下的人丛中拧过一个女人的大腿，但因力隔一层裤，所以此后并不飘飘然，—而小尼姑并不然，这也足见异端之可恶。,"Who knows that he will be in the year of ""standing"", but he was killed by his aunt.This fluttering spirit should not have it in etiquette and religion, so women are really abominable. If the face of the little nun is not slippery, Ah Q will not be stunned, and if the little nun's face is covered, Ah Q Q, A QIt won't be stunned. Five or six years ago, he twisted a woman's thigh in the crowd of the movie, but because of his power to separate a layer of pants, he did not fluttering since then, but the aunt of the nuns, otherwise it is not a nun, otherwise it is not a nun.This shows that heresy is abominable."
